Wavelength 	             Flux
2.322141999999999825e+03 5.781374239835685748e-03
2.324155999999999949e+03 7.206163322500947627e-03
2.326169999999999618e+03 9.231404807178695757e-03
2.328183999999999742e+03 1.051425208349666268e-02
2.330197999999999865e+03 1.029408620275874819e-02
2.332211999999999534e+03 8.485200388622658393e-03
2.334225999999999658e+03 6.264903685584734434e-03
2.336239999999999782e+03 6.141553868749294841e-03
2.338253999999999905e+03 7.575661899243951898e-03
2.340267999999999574e+03 9.933401606228769998e-03
2.342281999999999698e+03 1.011789841079208802e-02
2.344295999999999822e+03 1.103799531396764538e-02
2.346309999999999945e+03 9.978894597849135087e-03
2.348323999999999614e+03 7.290814257463563985e-03
2.350337999999999738e+03 6.679160755597018939e-03
2.352351999999999862e+03 8.463303156530913376e-03
2.354365999999999531e+03 7.764932943089327549e-03
2.356379999999999654e+03 6.764362564322951542e-03
2.358393999999999778e+03 8.236297259898519435e-03
2.360407999999999902e+03 8.822931911681210562e-03
2.362421999999999571e+03 9.020236531241584629e-03
2.364435999999999694e+03 8.553921890596102862e-03
2.366449999999999818e+03 9.487836544001459690e-03
2.368463999999999942e+03 1.032286935689191720e-02
2.370477999999999611e+03 9.378763538865247593e-03
2.372491999999999734e+03 8.858279644827205673e-03
2.374505999999999858e+03 8.114278721324421143e-03
2.376519999999999527e+03 6.676819542102935962e-03
2.378533999999999651e+03 7.612662253679892271e-03
2.380547999999999774e+03 7.308717654771275558e-03
2.382561999999999898e+03 4.672052198961698134e-03
2.384575999999999567e+03 5.393605016609426608e-03
2.386589999999999691e+03 7.147816609736584552e-03
2.388603999999999814e+03 6.603599237729088078e-03
2.390617999999999938e+03 8.334490508209274964e-03
2.392631999999999607e+03 8.532437813826850015e-03
2.394645999999999731e+03 9.078491431712059495e-03
2.396659999999999854e+03 1.074584859482334391e-02
2.398673999999999523e+03 1.059986704754507965e-02
2.400687999999999647e+03 9.603060972828016129e-03
2.402701999999999771e+03 8.156741907246559467e-03
2.404715999999999894e+03 7.139002629523557610e-03
2.406729999999999563e+03 7.388089382835466915e-03
2.408743999999999687e+03 9.004123473664641525e-03
2.410757999999999811e+03 8.481895146042769604e-03
2.412771999999999935e+03 6.861316346666250510e-03
2.414785999999999603e+03 7.387079447602723503e-03
2.416799999999999727e+03 8.177812828693327082e-03
2.418813999999999851e+03 8.281652533078056114e-03
2.420827999999999975e+03 7.193034164475291953e-03
2.422841999999999643e+03 7.598247723539836365e-03
2.424855999999999767e+03 1.057728122324919431e-02
2.426869999999999891e+03 1.030308380755954809e-02
2.428883999999999560e+03 9.073992629311661284e-03
2.430897999999999683e+03 8.725702692456252171e-03
2.432911999999999807e+03 8.751226510156475194e-03
2.434925999999999931e+03 8.034631556378575568e-03
2.436939999999999600e+03 7.537054829665016005e-03
2.438953999999999724e+03 9.752393668833110249e-03
2.440967999999999847e+03 1.045737436743447019e-02
2.442981999999999971e+03 8.100920032564051451e-03
2.444995999999999640e+03 7.869369427384313026e-03
2.447009999999999764e+03 9.648508058301436680e-03
2.449023999999999887e+03 1.101247149626741889e-02
2.451037999999999556e+03 1.029739144533863525e-02
2.453051999999999680e+03 8.940635272442681858e-03
2.455065999999999804e+03 9.492427158695745243e-03
2.457079999999999927e+03 1.031134691400926139e-02
2.459093999999999596e+03 1.072459404878880682e-02
2.461107999999999720e+03 8.440304176912546280e-03
2.463121999999999844e+03 5.757135794249861223e-03
2.465135999999999967e+03 4.737101209179716589e-03
2.467149999999999636e+03 5.055919399697815508e-03
2.469163999999999760e+03 7.806064850750120236e-03
2.471177999999999884e+03 9.974166264714021124e-03
2.473191999999999553e+03 8.546163751762762134e-03
2.475205999999999676e+03 8.989433506642928798e-03
2.477219999999999800e+03 9.754321727004709730e-03
2.479233999999999924e+03 1.103542456973884665e-02
2.481247999999999593e+03 1.080704148869816340e-02
2.483261999999999716e+03 7.334103754030671038e-03
2.485275999999999840e+03 7.036677827987942828e-03
2.487289999999999964e+03 8.167897100953671122e-03
2.489303999999999633e+03 8.599231257628698472e-03
2.491317999999999756e+03 1.053587387870674567e-02
2.493331999999999880e+03 1.204053965705256628e-02
2.495345999999999549e+03 1.008039308873977767e-02
2.497359999999999673e+03 9.929040522269198463e-03
2.499373999999999796e+03 9.565968806098191016e-03
2.501387999999999920e+03 1.051186496385563343e-02
2.503401999999999589e+03 1.146460113750756050e-02
2.505415999999999713e+03 1.112361027801606235e-02
2.507429999999999836e+03 1.152198382118612037e-02
2.509443999999999960e+03 1.168715413788649904e-02
2.511457999999999629e+03 1.155453127936860447e-02
2.513471999999999753e+03 1.156040726617729025e-02
2.515485999999999876e+03 1.188813124920229738e-02
2.517499999999999545e+03 1.270723462910358995e-02
2.519513999999999669e+03 1.298528816113643340e-02
2.521527999999999793e+03 1.332710533127290202e-02
2.523541999999999916e+03 1.269176425758384262e-02
2.525555999999999585e+03 1.214896997613157913e-02
2.527569999999999709e+03 1.277788418924863389e-02
2.529583999999999833e+03 1.433887680989333335e-02
2.531597999999999956e+03 1.539774799527712269e-02
2.533611999999999625e+03 1.518194319849879015e-02
2.535625999999999749e+03 1.472811502982177001e-02
2.537639999999999873e+03 1.650968668652686225e-02
2.539653999999999542e+03 1.980180010838646434e-02
2.541667999999999665e+03 1.748340196933166613e-02
2.543681999999999789e+03 1.484283449103194694e-02
2.545695999999999913e+03 1.570531917979422695e-02
2.547709999999999582e+03 1.861471305459128436e-02
2.549723999999999705e+03 1.726920388769632997e-02
2.551737999999999829e+03 1.291789793742432850e-02
2.553751999999999953e+03 1.245906599873053411e-02
2.555765999999999622e+03 1.317263114681021217e-02
2.557779999999999745e+03 1.460155178270032723e-02
2.559793999999999869e+03 1.588972417206365936e-02
2.561807999999999538e+03 1.551995015843899740e-02
2.563821999999999662e+03 1.506956495078269447e-02
2.565835999999999785e+03 1.492808220590482148e-02
2.567849999999999909e+03 1.507847074328960008e-02
2.569863999999999578e+03 1.486900099478937615e-02
2.571877999999999702e+03 1.289985682167578938e-02
2.573891999999999825e+03 1.181174342068939780e-02
2.575905999999999949e+03 1.347001116670599498e-02
2.577919999999999618e+03 1.478976698516601233e-02
2.579933999999999742e+03 1.222136396986045655e-02
2.581947999999999865e+03 1.258709824255414660e-02
2.583961999999999534e+03 1.306305317405762403e-02
2.585975999999999658e+03 1.275952173047149342e-02
2.587989999999999782e+03 1.559904644962153107e-02
2.590003999999999905e+03 1.423315495348394417e-02
2.592017999999999574e+03 1.107655647739964194e-02
2.594031999999999698e+03 9.734719802260113561e-03
2.596045999999999822e+03 9.876156640991033339e-03
2.598059999999999945e+03 1.118608854400528034e-02
2.600073999999999614e+03 1.207189355541453228e-02
2.602087999999999738e+03 1.249487279334596072e-02
2.604101999999999862e+03 1.155632161909937554e-02
2.606115999999999531e+03 1.045489543549955706e-02
2.608129999999999654e+03 1.344912386984699858e-02
2.610143999999999778e+03 1.489333125266908454e-02
2.612157999999999902e+03 1.143329314529253384e-02
2.614171999999999571e+03 1.070618568386472180e-02
2.616185999999999694e+03 1.212216078631695587e-02
2.618199999999999818e+03 1.394559884903392478e-02
2.620213999999999942e+03 1.327054895823930741e-02
2.622227999999999611e+03 1.496283315914056361e-02
2.624241999999999734e+03 1.542492443426729531e-02
2.626255999999999858e+03 1.379208869365703728e-02
2.628269999999999527e+03 1.454265419617264965e-02
2.630283999999999651e+03 1.284724837727928282e-02
2.632297999999999774e+03 1.133739520432892021e-02
2.634311999999999898e+03 1.215415737073611765e-02
2.636325999999999567e+03 1.236055140739117895e-02
2.638339999999999691e+03 1.121028108344416380e-02
2.640353999999999814e+03 1.194496305911755055e-02
2.642367999999999938e+03 1.459030477669932650e-02
2.644381999999999607e+03 1.633703366787479794e-02
2.646395999999999731e+03 1.575893755942348040e-02
2.648409999999999854e+03 1.648677951920237555e-02
2.650423999999999523e+03 1.736932519417868498e-02
2.652437999999999647e+03 1.748230022180504231e-02
2.654451999999999771e+03 1.861205049806860176e-02
2.656465999999999894e+03 1.823708908983939087e-02
2.658479999999999563e+03 1.769801320628949792e-02
2.660493999999999687e+03 1.747160408956735522e-02
2.662507999999999811e+03 2.071914264274545003e-02
2.664521999999999935e+03 2.218846068794527379e-02
2.666535999999999603e+03 2.298667677098756301e-02
2.668549999999999727e+03 2.328162376509538070e-02
2.670563999999999851e+03 2.231350903221759885e-02
2.672577999999999520e+03 2.381335466513442509e-02
2.674591999999999643e+03 2.485326661183082445e-02
2.676605999999999767e+03 2.469167697459198965e-02
2.678619999999999891e+03 2.440627845904828203e-02
2.680633999999999560e+03 2.495609638098280833e-02
2.682647999999999683e+03 2.527096664286381661e-02
2.684661999999999807e+03 2.620065793075044072e-02
2.686675999999999931e+03 2.879054502282524935e-02
2.688689999999999600e+03 2.875060667498496522e-02
2.690703999999999724e+03 2.885788934039041145e-02
2.692717999999999847e+03 3.148877062168518870e-02
2.694731999999999516e+03 3.250003713268925787e-02
2.696745999999999640e+03 2.960964840272654192e-02
2.698759999999999764e+03 2.952715505667023732e-02
2.700773999999999887e+03 3.250279150150581914e-02
2.702787999999999556e+03 3.326694522351651695e-02
2.704801999999999680e+03 3.471230026001217994e-02
2.706815999999999804e+03 3.447211929920717538e-02
2.708829999999999927e+03 3.478207760336531063e-02
2.710843999999999596e+03 3.791039789293282336e-02
2.712857999999999720e+03 4.007156747870834618e-02
2.714871999999999844e+03 4.202868424132290281e-02
2.716885999999999513e+03 4.381186261317100705e-02
2.718899999999999636e+03 4.094837488531679476e-02
2.720913999999999760e+03 3.955099177237642732e-02
2.722927999999999884e+03 4.131778164976591949e-02
2.724941999999999553e+03 4.207927281525392776e-02
2.726955999999999676e+03 4.338824068918237936e-02
2.728969999999999800e+03 4.685319075428180657e-02
2.730983999999999924e+03 4.558383988516504642e-02
2.732997999999999593e+03 4.311128890467616492e-02
2.735011999999999716e+03 4.373455666171923578e-02
2.737025999999999840e+03 4.657591762674698904e-02
2.739039999999999509e+03 4.922607948975776804e-02
2.741053999999999633e+03 5.007029353203679839e-02
2.743067999999999756e+03 5.047243137925617323e-02
2.745081999999999880e+03 5.290362092134954369e-02
2.747095999999999549e+03 5.569150122518887885e-02
2.749109999999999673e+03 5.651781187016018809e-02
2.751123999999999796e+03 5.330897219885492172e-02
2.753137999999999920e+03 5.189460381154568924e-02
2.755151999999999589e+03 5.340583416890432727e-02
2.757165999999999713e+03 5.492211420242668063e-02
2.759179999999999836e+03 5.577091885940000521e-02
2.761193999999999505e+03 5.680610247296130622e-02
2.763207999999999629e+03 5.718987786140353191e-02
2.765221999999999753e+03 5.688552010717244645e-02
2.767235999999999876e+03 5.508094947084895415e-02
2.769249999999999545e+03 5.358991781814516353e-02
2.771263999999999669e+03 5.333467964114290555e-02
2.773277999999999793e+03 5.496205255026697517e-02
2.775291999999999916e+03 5.773478382561515049e-02
2.777305999999999585e+03 5.789407815550686592e-02
2.779319999999999709e+03 5.856293071646418574e-02
2.781333999999999833e+03 5.930936466575494753e-02
